SIRET;Nom du compte;Site Scrapping;DNS;Mail Server1;Mail Server2;Mail Server3;Mail Server4;Mail Server5;Mail Server6;Mail Server7;Mail Server8;Mail Server9
48968200500116;ZENIKA;zenika.com;Erreur;;;;;;;;;
42326169200010;TIBCO TELECOM;tibco.fr;NON DEFINI;aspmx.l.google.com (priorité 1);alt3.aspmx.l.google.com (priorité 10);alt4.aspmx.l.google.com (priorité 10);alt1.aspmx.l.google.com (priorité 5);alt2.aspmx.l.google.com (priorité 5);;;;
47947430600772;TINGARI;marchespublics-talentsolutions.fr;NON DEFINI;;;;;;;;;
35055386300316;EVERIAL;everial.com;NON DEFINI;mxb-0017f201.gslb.pphosted.com (priorité 10);mxa-0017f201.gslb.pphosted.com (priorité 10);;;;;;;
44998957300026;L'OUVRE BOITE 44;aucun site;aucun site;;;;;;;;;
39114114000130;ALSO FRANCE;oci.fr;OUI;oci-fr.mail.protection.outlook.com (priorité 0);;;;;;;;
51338143400085;LENGOW;lengow.fr;NON DEFINI;spool.mail.gandi.net (priorité 10);fb.mail.gandi.net (priorité 50);;;;;;;
41330967500051;AIS;groupeais.fr;OUI;groupeais-fr.mail.protection.outlook.com (priorité 1);;;;;;;;
50295859800042;CREATIVE INGENIERIE;groupe-creative.fr;OUI;groupecreative-fr01e.mail.protection.outlook.com (priorité 0);;;;;;;;
38412458200220;SOFT MAINT SA;aucun site;aucun site;;;;;;;;;
79128948100073;CONSERTO;aucun site;aucun site;;;;;;;;;
31728838900503;FIDUCIAL INFORMATIQUE;aucun site;aucun site;;;;;;;;;
43010627800111;LINKEO.COM;aucun site;aucun site;;;;;;;;;
49069792700021;TIBCO SERVICES;tibco.fr;OUI;groupecreative-fr01e.mail.protection.outlook.com (priorité 0);;;;;;;;
44171641200057;IPPON TECHNOLOGIES;ippon.fr;NON DEFINI;aspmx.l.google.com (priorité 1);aspmx5.googlemail.com (priorité 10);alt2.aspmx.l.google.com (priorité 5);aspmx2.googlemail.com (priorité 10);alt1.aspmx.l.google.com (priorité 5);aspmx3.googlemail.com (priorité 10);aspmx4.googlemail.com (priorité 10);;
30194001100341;FUJITSU TECHNOLOGY SOLUTIONS;aucun site;aucun site;;;;;;;;;
38430888800302;EUROGICIEL;scalian.com;OUI;scalian-com.mail.protection.outlook.com (priorité 10);;;;;;;;
34930795900073;ESPACE;aucun site;aucun site;;;;;;;;;
44461769000078;SPIE BATIGNOLLES GRAND OUEST;aucun site;aucun site;;;;;;;;;
44461769000110;SPIE BATIGNOLLES GRAND OUEST;spiebatignolles.fr;OUI;spiebatignolles-fr.mail.protection.outlook.com (priorité 10);spie-batignolles.in.tmes.trendmicro.eu (priorité 5);;;;;;;
32116376800104;EIFFAGE CONSTRUCTION PAYS DE LOIRE ECPDL;eiffageconstruction.com;NON DEFINI;alpha.aenix.fr (priorité 10);omega.aenix.fr (priorité 5);;;;;;;
33890331300025;MACORETZ;macoretz.fr;NON DEFINI;mail.macoretz.fr (priorité 0);;;;;;;;
34088947600032;OCEA;ocea.fr;NON DEFINI;mx01.cloud.vadesecure.com (priorité 2);mx02.cloud.vadesecure.com (priorité 2);mx03.cloud.vadesecure.com (priorité 2);mx04.cloud.vadesecure.com (priorité 2);;;;;
87180281500013;ENTREPRISE BLANLOEIL;blanloeil.fr;NON DEFINI;mx-mibc-fr-08.mailinblack.com (priorité 5);;;;;;;;
48754905700015;DLE OUEST;eiffageroute.com;NON DEFINI;;;;;;;;;
34431386100678;SOGEA OUEST TP;aucun site;aucun site;;;;;;;;;
30906591000130;SOCIETE ARMORICAINE DE CANALISATIONS;aucun site;aucun site;;;;;;;;;
34431386100439;SOGEA OUEST TP;aucun site;aucun site;;;;;;;;;
34537560400195;CABINET ROUX;cabinet-roux.com;OUI;cabinetroux-com01i.mail.protection.outlook.com (priorité 10);;;;;;;;
32337773900160;HENNER;henner.com;OUI;henner-com.mail.protection.outlook.com (priorité 0);;;;;;;;
35037925102940;APRIL MON ASSURANCE;aucun site;aucun site;;;;;;;;;
32337773900293;HENNER;henner.com;OUI;henner-com.mail.protection.outlook.com (priorité 0);;;;;;;;
35037925102759;APRIL MON ASSURANCE;groupama.fr;NON DEFINI;mail25.groupama.com (priorité 10);;;;;;;;
35069548200025;ETABLISSEMENTS RAIMOND;raimond.fr;NON DEFINI;mx16b.mailinblack.com (priorité 100);mx16.mailinblack.com (priorité 5);;;;;;;
31088031500307;LOCAM - LOCATION AUTOMOBILES ET MATERIEL;aucun site;aucun site;;;;;;;;;
64201783401059;CM - CIC BAIL;aucun site;aucun site;;;;;;;;;
38977642800010;SCEA RENE BRIAND;briandplants.com;NON DEFINI;mx01.cloud.vadesecure.com (priorité 10);mx02.cloud.vadesecure.com (priorité 10);mx03.cloud.vadesecure.com (priorité 10);mx04.cloud.vadesecure.com (priorité 10);;;;;
35142103700018;LES COTEAUX NANTAIS;aucun site;aucun site;;;;;;;;;
37957888300157;SUEZ RR IWS REMEDIATION FRANCE;aucun site;aucun site;;;;;;;;;
39892674100016;ADECAM INDUSTRIE;aucun site;aucun site;;;;;;;;;
38348263500109;AFM RECYCLAGE;derichebourg.com;NON DEFINI;mxb-006df601.gslb.pphosted.com (priorité 10);mxa-006df601.gslb.pphosted.com (priorité 10);;;;;;;
38348263500042;AFM RECYCLAGE;aucun site;aucun site;;;;;;;;;
38348263500117;AFM RECYCLAGE;aucun site;aucun site;;;;;;;;;
38348263500380;AFM RECYCLAGE;derichebourg-environnement.com;NON DEFINI;mxb-006df601.gslb.pphosted.com (priorité 10);mxa-006df601.gslb.pphosted.com (priorité 10);;;;;;;
38348263500083;AFM RECYCLAGE;derichebourg.com;NON DEFINI;mxb-006df601.gslb.pphosted.com (priorité 10);mxa-006df601.gslb.pphosted.com (priorité 10);;;;;;;
51969891400057;IADVIZE;iadvize.com;NON DEFINI;aspmx.l.google.com (priorité 10);alt1.aspmx.l.google.com (priorité 20);alt2.aspmx.l.google.com (priorité 20);alt3.aspmx.l.google.com (priorité 30);alt4.aspmx.l.google.com (priorité 30);;;;
40212503300033;VECTEUR PLUS;vecteurplus.com;OUI;vecteurplus-com.mail.protection.outlook.com (priorité 1);;;;;;;;
43042531400043;ALGAM;aucun site;aucun site;;;;;;;;;
57575016100920;COMPAGNIE FERMIERE DE SERVICES PUBLICS;reze.fr;NON DEFINI;mx-02-eu-central-1.prod.hydra.sophos.com (priorité 20);mx-01-eu-central-1.prod.hydra.sophos.com (priorité 10);;;;;;;
85780286200196;SOC EDITION RESISTANCE & PRESSE OUEST;aucun site;aucun site;;;;;;;;;
39914635600833;CONCEPT MULTIMEDIA;aucun site;aucun site;;;;;;;;;
41996380600056;MYSCRIPT;myscript.com;OUI;myscript-com.mail.protection.outlook.com (priorité 0);mx1.alwaysdata.com (priorité 10);mx2.alwaysdata.com (priorité 20);;;;;;
37762218800219;INFOR (FRANCE) SAS;aucun site;aucun site;;;;;;;;;
35142130000036;ARPEGE;aucun site;aucun site;;;;;;;;;
32910922700127;MISSLER SOFTWARE;topsolid.fr;NON DEFINI;;;;;;;;;
32045908400093;VIF;vif.fr;NON DEFINI;aspmx.l.google.com (priorité 1);alt2.aspmx.l.google.com (priorité 5);alt4.aspmx.l.google.com (priorité 10);alt1.aspmx.l.google.com (priorité 5);alt3.aspmx.l.google.com (priorité 10);;;;
42101187500216;PROWEBCE.;prowebce.com;NON DEFINI;mxb-002aaa01.gslb.pphosted.com (priorité 10);mxa-002aaa01.gslb.pphosted.com (priorité 10);;;;;;;
37840398400024;ERNEST SOULARD;aucun site;aucun site;;;;;;;;;
30760421500029;ORVIA-COUVOIR DE LA SEIGNEURTIERE;orvia.fr;NON DEFINI;mx-mibc-fr-04.mailinblack.com (priorité 5);mx-mibc-fr-04.mailinblack.com (priorité 100);;;;;;;
38811327600017;FC NANTES;aucun site;aucun site;;;;;;;;;
79823301101607;BASIC FIT II;basic-fit.com;OUI;basicfit-com01c.mail.protection.outlook.com (priorité 10);;;;;;;;
31237926601031;ECF CER CENTRE ATLANTIQUE;aucun site;aucun site;;;;;;;;;
31237926600736;ECF CER CENTRE ATLANTIQUE;asso.fr;NON DEFINI;;;;;;;;;
31237926601825;ECF CER CENTRE ATLANTIQUE;asso.fr;NON DEFINI;;;;;;;;;
31237926600801;ECF CER CENTRE ATLANTIQUE;asso.fr;NON DEFINI;;;;;;;;;
83474886500047;AUDENCIA;aucun site;aucun site;;;;;;;;;
33830238300272;ECOTEC;ecole-tunon.com;NON DEFINI;;;;;;;;;
44985165800046;I.D.H.E.O. NANTES;aucun site;aucun site;;;;;;;;;
83474886500021;AUDENCIA;aucun site;aucun site;;;;;;;;;
83474886500039;AUDENCIA;audencia.com;NON DEFINI;mx02.cloud.vadesecure.com (priorité 10);mx03.cloud.vadesecure.com (priorité 10);mx04.cloud.vadesecure.com (priorité 10);mx01.cloud.vadesecure.com (priorité 10);;;;;
42214961700108;IDEA LOGISTIQUE;groupe-idea.com;OUI;groupeidea-com01e.mail.protection.outlook.com (priorité 0);;;;;;;;
42214961700041;IDEA LOGISTIQUE;aucun site;aucun site;;;;;;;;;
42214961700066;IDEA LOGISTIQUE;groupe-idea.com;OUI;groupeidea-com01e.mail.protection.outlook.com (priorité 0);;;;;;;;
32205387700047;RABAS;aucun site;aucun site;;;;;;;;;
33290885400075;SODIPOR;leclercdrive.fr;NON DEFINI;mx2.iiinnn.com (priorité 10);mx3.iiinnn.com (priorité 10);mx4.iiinnn.com (priorité 10);mx5.iiinnn.com (priorité 10);;;;;
42125183600274;TITANOBEL;aucun site;aucun site;;;;;;;;;
52950910100018;LEGENDRE GENIE CIVIL;groupe-legendre.com;OUI;groupelegendre-com01e.mail.protection.outlook.com (priorité 1);;;;;;;;
44820858700015;MANUTENTION GENERALE ATLANTIQUE;aucun site;aucun site;;;;;;;;;
35014392100053;MECACHROME ATLANTIQUE;aucun site;aucun site;;;;;;;;;
31911766900048;HALGAND;aucun site;aucun site;;;;;;;;;
41262201100010;SAPHIR (SOCIETE D'APPLICATION DE PROPRETE ET D'HY- GIENE INDUSTR IELLE ET REGIONALE);saphir-proprete.fr;NON DEFINI;mx3.mail.ovh.net (priorité 10);mx4.mail.ovh.net (priorité 1);;;;;;;
43279790000029;CLERSOL NANTNET;nantnet.com;OUI;nantnet-com.mail.protection.outlook.com (priorité 10);;;;;;;;
31383243800045;NETTOYAGE ATLANTIQUE SERVICE;aucun site;aucun site;;;;;;;;;
39019403300010;EFFOR ATLANTIQUE;effor-proprete.com;NON DEFINI;mx3.mail.ovh.net (priorité 100);mx2.mail.ovh.net (priorité 5);mx1.mail.ovh.net (priorité 1);;;;;;
79023445400011;IMPEC PROPRETE;clinitex.fr;OUI;clinitex-fr.mail.protection.outlook.com (priorité 0);;;;;;;;
33924327100048;YANET EGN;aucun site;aucun site;;;;;;;;;
44997713100100;IGIENAIR;igienair.com;OUI;igienair-com.mail.protection.outlook.com (priorité 10);;;;;;;;
34460447500063;NET'OUEST;net-ouest.fr;OUI;netouest-fr0i.mail.protection.outlook.com (priorité 10);;;;;;;;
42290814500093;GROUPEMENT INTERACTIF DES METIERS DE NETTOYAGE ET DE SERVICES;aucun site;aucun site;;;;;;;;;
32081659800116;SARP OUEST;aucun site;aucun site;;;;;;;;;
48955225700037;ATLANTIQUE PROPRETE ET CONSEILS;aucun site;aucun site;;;;;;;;;
52789433100018;S.O.L. CONSTRUCTION;aucun site;aucun site;;;;;;;;;
38221182900033;DISTRIBUTION NANTES OUEST;aucun site;aucun site;;;;;;;;;
80416717900022;HUB SAFE NANTES;aucun site;aucun site;;;;;;;;;
42271545800010;IMA PROTECT;aucun site;aucun site;;;;;;;;;
49341172200025;UNIVERS DE LA SECURITE;aucun site;aucun site;;;;;;;;;
45024826500024;EXCELIUM;excelium.fr;NON DEFINI;asp25.mailinblack.com (priorité 5);;;;;;;;
48210963400048;ATLANTIQUE SECURITE ET CONSEILS;atlas-securite.fr;OUI;atlassecurite-fr01c.mail.protection.outlook.com (priorité 0);;;;;;;;
78818429900014;SAS LANDAIS ANDRE;aucun site;aucun site;;;;;;;;;
34369137400114;CHARIER TP;charier.fr;OUI;charier-fr.mail.protection.outlook.com (priorité 10);;;;;;;;
32065170600030;CHARIER GC;aucun site;aucun site;;;;;;;;;
32011691600067;ENTR TRAVAUX PUBLICS DE L OUEST;aucun site;aucun site;;;;;;;;;
55615017500298;PIGEON TP LOIRE ANJOU;aucun site;aucun site;;;;;;;;;
34369137400163;CHARIER TP;aucun site;aucun site;;;;;;;;;
55615017500207;PIGEON TP LOIRE ANJOU;aucun site;aucun site;;;;;;;;;
86380073600150;ENTREPRISE HERVE ET COMPAGNIE;hervegroupe.fr;OUI;hervegroupe-fr.mail.protection.outlook.com (priorité 0);;;;;;;;
85780003100034;AUBRON ET MECHINEAU;aucun site;aucun site;;;;;;;;;
34369137400155;CHARIER TP;aucun site;aucun site;;;;;;;;;
50433211500014;VALNANTAIS CONDITIONNEMENT;valnantais.fr;NON DEFINI;frontmail2.nwt.fr (priorité 0);frontmail.nwt.fr (priorité 10);;;;;;;
39336198500095;ARIS;aucun site;aucun site;;;;;;;;;
30257173200288;STO;sto.fr;NON DEFINI;;;;;;;;;
82040195800021;GARNIER LOGISTIQUE ET TRANSPORT;groupe-garnier.com;OUI;groupegarnier-com01e.mail.protection.outlook.com (priorité 0);;;;;;;;
37861920900331;XPO MAINTENANCE FRANCE;aucun site;aucun site;;;;;;;;;
35205040500021;BRIERE DISTRIBUTION;aucun site;aucun site;;;;;;;;;
35283940100127;IN EXTENSO OUEST ATLANTIQUE;inextenso.fr;OUI;inextenso-fr.mail.protection.outlook.com (priorité 10);;;;;;;;
85880214300025;FONDERIE GM BOUHYER;bouhyer.com;OUI;bouhyer-com.mail.protection.outlook.com (priorité 0);;;;;;;;
50280033700052;ECL DIRECT;aucun site;aucun site;;;;;;;;;
35283940100119;IN EXTENSO OUEST ATLANTIQUE;inextenso.fr;OUI;inextenso-fr.mail.protection.outlook.com (priorité 10);;;;;;;;
35283940100192;IN EXTENSO OUEST ATLANTIQUE;aucun site;aucun site;;;;;;;;;
35283940100184;IN EXTENSO OUEST ATLANTIQUE;inextenso.fr;OUI;inextenso-fr.mail.protection.outlook.com (priorité 10);;;;;;;;
35283940100218;IN EXTENSO OUEST ATLANTIQUE;inextenso.fr;OUI;inextenso-fr.mail.protection.outlook.com (priorité 10);;;;;;;;
35283940100150;IN EXTENSO OUEST ATLANTIQUE;inextenso.fr;OUI;inextenso-fr.mail.protection.outlook.com (priorité 10);;;;;;;;
44135591400512;AC ENVIRONNEMENT;aucun site;aucun site;;;;;;;;;
44135591400215;AC ENVIRONNEMENT;aucun site;aucun site;;;;;;;;;
34767015000015;CHARIER CARRIERES ET MATERIAUX;mygravier.com;OUI;mygravier-com.mail.protection.outlook.com (priorité 10);;;;;;;;
38316788900013;FLORENTAISE;florentaise.com;NON DEFINI;mx-mibc-fr-01.mailinblack.com (priorité 5);;;;;;;;
54850190700479;AIR PRODUCTS;aucun site;aucun site;;;;;;;;;
54850190700354;AIR PRODUCTS;aucun site;aucun site;;;;;;;;;
39189217100045;COVI;aucun site;aucun site;;;;;;;;;
77560589200048;SOC EXPLOIT TOLERIE EMAILLERIE NANTAISE;seten.com;OUI;seten-com.mail.protection.outlook.com (priorité 0);;;;;;;;
52298519100025;TRISTONE FLOWTECH FRANCE;tristone.com;NON DEFINI;mta72.hosting-centre.cz (priorité 10);;;;;;;;
30088201600011;DEDIENNE ATLANTIQUE;demgy.com;OUI;demgy-com.mail.protection.outlook.com (priorité 0);;;;;;;;
40906598400026;LACROIX SIGNALISATION;lacroix-city.com;OUI;lacroixcity-com01i.mail.protection.outlook.com (priorité 0);;;;;;;;
48204961600022;SHAPERS' FRANCE;shapersgroup.com;NON DEFINI;mailhost-seg.shapersgroup.com (priorité 50);mailhost-tdp.shapersgroup.com (priorité 10);mx-poland.shapersgroup.com (priorité 6);;;;;;
57645067000087;SANDERS OUEST;aucun site;aucun site;;;;;;;;;
31257434600515;SAUNIER DUVAL EAU CHAUDE CHAUFFAGE;saunierduval.fr;OUI;saunierduval-fr.mail.protection.outlook.com (priorité 10);;;;;;;;
86680052700057;DECOR OUEST DISTRIBUTION;dod.fr;NON DEFINI;mx04.cloud.vadesecure.com (priorité 10);mx01.cloud.vadesecure.com (priorité 10);mx03.cloud.vadesecure.com (priorité 10);mx02.cloud.vadesecure.com (priorité 10);;;;;
31257434600119;SAUNIER DUVAL EAU CHAUDE CHAUFFAGE;saunierduval.fr;OUI;saunierduval-fr.mail.protection.outlook.com (priorité 10);;;;;;;;
31952778400320;LITT DIFFUSION SA;aucun site;aucun site;;;;;;;;;
77977749900608;DECOCERAM;pointp.fr;NON DEFINI;mxa-002c9e02.gslb.pphosted.com (priorité 10);mxb-002c9e02.gslb.pphosted.com (priorité 10);;;;;;;
40309296800813;AU FORUM DU BATIMENT;afdb.fr;OUI;afdb-fr.mail.protection.outlook.com (priorité 5);;;;;;;;
87280278000041;G P SAS;aucun site;aucun site;;;;;;;;;
43196744700035;ZOLUX;aucun site;aucun site;;;;;;;;;
41026843700176;ARTES;aucun site;aucun site;;;;;;;;;
48017335000145;ALTERBURO DISTRIBUTION;aucun site;aucun site;;;;;;;;;
42087469500018;REGELAV;regelav.com;NON DEFINI;mailgw01.creasrv.net (priorité 1);mailgw02.creasrv.net (priorité 50);;;;;;;
44215016500326;B.H.R.;bhrbeton.com;NON DEFINI;mx00.ionos.fr (priorité 10);mx01.ionos.fr (priorité 10);;;;;;;
44215016500193;B.H.R.;bhrbeton.com;NON DEFINI;mx00.ionos.fr (priorité 10);mx01.ionos.fr (priorité 10);;;;;;;
44215016500292;B.H.R.;bhrbeton.com;NON DEFINI;mx00.ionos.fr (priorité 10);mx01.ionos.fr (priorité 10);;;;;;;
44215016500201;B.H.R.;bhrbeton.com;NON DEFINI;mx00.ionos.fr (priorité 10);mx01.ionos.fr (priorité 10);;;;;;;
44215016500219;B.H.R.;aucun site;aucun site;;;;;;;;;
50014470400037;ST MICHEL ST MICHEL CHEF CHEF;stmichel.fr;NON DEFINI;mx-mibc-fr-03.mailinblack.com (priorité 0);;;;;;;;
31869768700149;BOUYER LEROUX;biobric.com;OUI;srv04.versio.netensia.net (priorité 0);biobric-com.mail.protection.outlook.com (priorité 0);;;;;;;
33979661700225;SD SERVICES;sdservices.fr;NON DEFINI;mx-mibc-fr-05.mailinblack.com (priorité 5);;;;;;;;
87080048900011;SMURFIT KAPPA PAPCART;smurfitkappa.com;OUI;smurfitkappa-com.mail.protection.outlook.com (priorité 5);;;;;;;;
37996607000029;MINCO;minco.fr;OUI;minco-fr.mail.protection.outlook.com (priorité 5);;;;;;;;
57212604300833;ANTARGAZ-FINAGAZ;aucun site;aucun site;;;;;;;;;
86450041800040;ARMORINE;aucun site;aucun site;;;;;;;;;
54208445400603;COMPAGNIE DES GAZ DE PETROLE PRIMAGAZ;aucun site;aucun site;;;;;;;;;
54203432701279;BP FRANCE;aucun site;aucun site;;;;;;;;;
42821903400082;ALKERN MLX;aucun site;aucun site;;;;;;;;;
58850131200114;GAZ LIQUEFIES INDUSTRIE;aucun site;aucun site;;;;;;;;;
91652109900678;WEISHAUPT;weishaupt.fr;NON DEFINI;mx1.hc884-19.c3s2.iphmx.com (priorité 10);mx2.hc884-19.c3s2.iphmx.com (priorité 10);;;;;;;
32565471300560;SOCIETE DES FOURNITURES INDUSTRIELLES ET THERMIQUES;aucun site;aucun site;;;;;;;;;
30481728100047;VENDEE SANI THERM;aucun site;aucun site;;;;;;;;;
57200205300252;LA ROBINETTERIE INDUSTRIELLE;larobinetterie.com;OUI;larobinetterie-com.mail.protection.outlook.com (priorité 10);;;;;;;;
77558685200102;SIDER;sider.biz;OUI;sider-biz.mail.protection.outlook.com (priorité 0);;;;;;;;
32671444100069;LIGARTIS;aucun site;aucun site;;;;;;;;;
32565471300180;SOCIETE DES FOURNITURES INDUSTRIELLES ET THERMIQUES;sofinther.net;NON DEFINI;mx01.ionos.fr (priorité 10);mx00.ionos.fr (priorité 10);;;;;;;
32565471300420;SOCIETE DES FOURNITURES INDUSTRIELLES ET THERMIQUES;aucun site;aucun site;;;;;;;;;
55213029600726;GENERALE FRIGORIFIQUE;aucun site;aucun site;;;;;;;;;
38929267300255;PROVOST DISTRIBUTION;aucun site;aucun site;;;;;;;;;
55213029600296;GENERALE FRIGORIFIQUE;lagff.com;OUI;lagff-com.mail.protection.outlook.com (priorité 0);;;;;;;;
48494220600026;MESSER EUTECTIC CASTOLIN;messer-cutting.com;OUI;messercutting-com01e.mail.protection.outlook.com (priorité 0);;;;;;;;
55480026800068;SEFI;sefitransmission.fr;NON DEFINI;alt2.aspmx.l.google.com (priorité 5);aspmx.l.google.com (priorité 1);alt1.aspmx.l.google.com (priorité 5);aspmx3.googlemail.com (priorité 10);aspmx2.googlemail.com (priorité 10);;;;
38281407700154;ISOGARD SAS;aucun site;aucun site;;;;;;;;;
55480026800522;SEFI;sefitransmission.fr;NON DEFINI;alt2.aspmx.l.google.com (priorité 5);aspmx.l.google.com (priorité 1);alt1.aspmx.l.google.com (priorité 5);aspmx3.googlemail.com (priorité 10);aspmx2.googlemail.com (priorité 10);;;;
78816560300192;SAMSON REGULATION;samsongroup.com;NON DEFINI;samsongroup.in.tmes.trendmicro.eu (priorité 10);;;;;;;;
